T1,T2
2.4466339,2.0961368
2.7094308,2.709144
2.5341391,3.2020344
2.330513,3.5171951
1.8880675,3.6469646
1.4672101,3.4336544
1.3253408,3.0437399
1.2385383,2.7272373
1.2614758,2.4598637
1.1755446,2.0589547
0.98521434,2.0482632
0.80188335,2.1381236
0.85644413,2.2781084
0.8318201,2.435494
0.7109487,2.3510443
0.64722417,2.2849475
0.63994378,1.9446813
0.57678145,1.6070988
0.60126493,1.1391841
0.60548138,0.64170544
0.59139845,0.2150633
0.73090654,-0.10225733
0.97756852,-0.27487068
1.1501897,-0.51275836
1.4224877,-0.73057028
1.5840337,-0.974137
1.7064793,-1.0350828
1.7926353,-0.96219024
1.9698946,-1.429196
2.1149965,-1.3859106
2.2290935,-1.360026
2.3969079,-1.43162
2.5456641,-1.5071529
2.6442727,-1.5467157
2.7777934,-1.547365
2.8629656,-1.3545287
3.0895292,-1.0990585
3.124104,-0.65148793
2.8792691,-0.49479494
2.5219677,-0.66486311
1.1116233,-0.35229088
2.6767955,-0.27045991
3.737175,-0.26403203
4.0191145,-0.046700574
3.1370344,0.049258738
2.2444132,-0.50812683
-0.020075053,-1.0873282
-0.95176388,-1.4584136
-2.7591567,-1.3874689
-3.5800422,-1.1423006
-4.9281799,-0.8159723
-6.1787772,0.783162
-7.1747013,1.6654042
-7.1955025,1.964506
-7.0917779,2.1830538
-7.1201687,2.1215453
-7.0293746,2.0563575
-6.8832045,2.1733146
-7.0729445,2.2744725
-7.1617709,2.2723082
-6.9565706,2.3351585
-5.4147576,2.4167947
-4.6996486,2.4315117
-4.2794097,2.3551564
-2.6889389,2.2312737
-0.91058327,1.8494535
1.8647646,1.5913429
4.0084329,1.3423223
3.8855938,1.2795152
5.5988756,1.2403852
5.947435,1.153122
4.995643,1.0028352
4.7508082,0.95249432
3.6913563,1.0630884
2.8168658,1.0829997
2.5005762,1.1616059
2.5919044,1.3099015
2.5117358,1.5858457
2.2943921,1.7983335
1.934617,1.8198463
1.5968798,1.7527973
1.4531272,1.3927064
1.5036683,0.87761065
1.463078,0.41520615
1.4504006,0.18230495
1.4986367,0.13466075
1.3989599,0.3392187
1.4396908,0.58829131
1.3317779,0.77822746
1.2550105,0.9587707
1.2874491,0.92509469
1.229234,0.78450384
1.2064652,0.63746348
1.2590302,0.44787361
1.3852424,0.2420474
1.4958538,0.11040796
1.4671258,-0.015733795
1.5658749,-0.12673953
1.6673226,-0.32329834
1.7548559,-0.66533925
1.8898665,-1.0996213
-6.0056219,-5.5825127
-4.6147576,-6.5746131
-3.9836964,-7.0308408
-2.1673647,-6.7339033
0.20339564,-5.282978
5.9828531,-0.86306677
6.6805341,4.278195
8.7286015,8.289579
7.6160225,10.278108
6.7614898,11.939833
4.3985945,13.25441
3.3599438,13.918407
2.290007,13.33795
0.89942375,11.66627
1.1320871,9.3228006
1.0187491,6.8862677
0.88674631,4.7587923
0.77686578,3.0456444
0.40860155,1.336219
0.65155306,-0.42969808
1.1073788,-2.5728384
1.5790302,-4.3856725
2.3108082,-5.4171626
3.2008433,-6.0348447
3.9485594,-6.4053674
3.9257906,-6.7776215
4.1981729,-7.5355481
3.5465917,-9.4807921
4.4742094,-10.808354
1.8217569,-9.8400606
-0.1371806,-7.8606211
-2.0139424,-5.7041446
-3.3557273,-4.081766
-5.5994378,-4.0359701
-6.1602249,-4.6691916
-6.2406184,-4.7661508
-5.6008433,-5.1332107
