Lamp__D3237E_Eight_Sec_Power_Consumption,Lamp_dev_D331DA_Eight_Sec_Power_Consumption,Monitor-TFT_dev_599185_Eight_Sec_Power_Consumption,PC-Desktop_dev_59ADA7_Eight_Sec_Power_Consumption,Refrigerator_dev_599393_Eight_Sec_Power_Consumption,TV-LCD_dev_D33097_Eight_Sec_Power_Consumption
0.00,207.00,0.00,2.00,119.00,0.00
0.00,207.00,0.00,2.00,118.07,0.00
0.00,207.00,0.00,2.00,116.95,0.00
0.00,207.00,0.00,2.00,8.92,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,207.00,0.00,2.00,0.00,0.00
0.00,196.71,0.00,2.00,0.00,0.00
0.00,93.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,81.65,0.00
0.00,94.00,0.00,2.00,137.52,0.00
0.00,94.00,0.00,2.00,128.76,0.00
0.00,94.00,0.00,2.00,124.63,0.00
0.00,94.00,0.00,2.00,122.73,0.00
0.00,94.00,0.00,2.00,122.00,0.00
0.00,94.00,0.00,2.00,119.48,0.00
0.00,94.00,0.00,2.00,53.34,0.00
0.00,94.22,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.35,0.00,2.00,0.00,0.00
0.00,95.87,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
0.00,95.88,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
0.00,95.88,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
