Lamp__D3237E_Eight_Sec_Power_Consumption,Lamp_dev_D331DA_Eight_Sec_Power_Consumption,Monitor-TFT_dev_599185_Eight_Sec_Power_Consumption,PC-Desktop_dev_59ADA7_Eight_Sec_Power_Consumption,TV-LCD_dev_D33097_Eight_Sec_Power_Consumption
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,207.00,0.00,2.00,0.00
0.00,196.71,0.00,2.00,0.00
0.00,93.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.22,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.35,0.00,2.00,0.00
0.00,95.87,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,95.88,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,95.88,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,96.00,0.00,2.00,0.00
0.00,95.75,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,92.24,0.00,2.00,0.00
0.00,92.12,0.00,2.00,0.00
0.00,92.38,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,92.00,0.00,2.00,0.00
0.00,93.38,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,93.88,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,93.38,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,94.00,0.00,2.00,0.00
0.00,9.88,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
